Student_ID	Grade
312380	1.0
311941	3.7
311981	2.3
314641	
311938	1.3
312037	5.0
311935	1.0
312062	
312264	3.3
315444	5.0
311939	1.3
311933	5.0
314640	
311943	5.0
312069	1.0
